"タイムスタンプ","あなたはコーヒーを購入する際、カフェ・その他専門店を利用したことがありますか？","カフェ・その他専門店で購入する理由は何ですか？（当てはまるもの全てをお選びください）","あなたが利用する店やそこで購入するコーヒーを、家族や友人にどれくらい勧めたいと思いますか？","あなたはコーヒーを購入する際、コンビニを利用することがありますか？","コンビニで購入する理由は何ですか？（当てはまるもの全てをお選びください）","あなたが利用する店やそこで購入するコーヒーを、家族や友人にどれくらい勧めたいと思いますか？","あなたはコーヒーを購入する際、スーパーを利用することがありますか？","スーパーで購入する理由は何ですか？（当てはまるもの全てをお選びください）","あなたが利用する店やそこで購入するコーヒーを、家族や友人にどれくらい勧めたいと思いますか？","あなたはパンを購入する際、パン屋・その他専門店を利用することがありますか？","パン屋・その他専門店で購入する理由は何ですか？（当てはまるもの全てをお選びください）","あなたが利用する店やそこで購入するパンを、家族や友人にどれくらい勧めたいと思いますか？","あなたはパンを購入する際、コンビニを利用することがありますか？","コンビニで購入する理由は何ですか？（当てはまるもの全てをお選びください）","あなたが利用する店やそこで購入するパンを、家族や友人にどれくらい勧めたいと思いますか？","あなたはパンを購入する際、スーパーを利用することがありますか？","スーパーで購入する理由は何ですか？（当てはまるもの全てをお選びください）","あなたが利用する店やそこで購入するパンを、家族や友人にどれくらい勧めたいと思いますか？","あなたはケーキを購入する際、ケーキ屋・その他専門店を利用することがありますか？","ケーキ屋・その他専門店で購入する理由は何ですか？（当てはまるもの全てをお選びください）","あなたが利用する店やそこで購入するケーキを、家族や友人にどれくらい勧めたいと思いますか？","あなたはケーキを購入する際、コンビニを利用することがありますか？","コンビニで購入する理由は何ですか？（当てはまるもの全てをお選びください）","あなたが利用する店やそこで購入するケーキを、家族や友人にどれくらい勧めたいと思いますか？","あなたはケーキを購入する際、スーパーを利用することがありますか？","スーパーで購入する理由は何ですか？（当てはまるもの全てをお選びください）","あなたが利用する店やそこで購入するケーキを、家族や友人にどれくらい勧めたいと思いますか？"
"2020/10/17 2:20:18 午後 GMT+9","利用しない","","","利用しない","","","利用しない","","","利用しない","","","たまに利用する","美味しい;店舗が近い・アクセスが良い;価格が安い;ほかの食品・日用品等と合わせて購入できる","8","たまに利用する","美味しい;価格が安い;種類が豊富・品揃えが良い","10","利用しない","","","利用しない","","","利用しない","",""
"2020/10/17 2:33:27 午後 GMT+9","たまに利用する","美味しい;店や商品の個性がある;店の雰囲気が良い;店内で飲めるのが良い;気軽に購入できる・素早く購入できる","7","よく利用する","美味しい;店舗が近い・アクセスが良い;価格が安い;店や商品の個性がある;店の雰囲気が良い;店員が親切・愛想が良い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","8","よく利用する","美味しい;店舗が近い・アクセスが良い;価格が安い;ほかの食品・日用品等と合わせて購入できる","8","たまに利用する","美味しい;できたてを購入できる;商品が本格的;種類が豊富・品揃えが良い;店や商品の個性がある","8","たまに利用する","店舗が近い・アクセスが良い;価格が安い;店員が親切・愛想が良い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","7","利用しない","","","利用しない","","","利用しない","","","利用しない","",""
"2020/10/17 2:52:24 午後 GMT+9","たまに利用する","店の雰囲気が良い;店内で飲めるのが良い","3","たまに利用する","店舗が近い・アクセスが良い;価格が安い;種類が豊富・品揃えが良い;店や商品の個性がある;気軽に購入できる・素早く購入できる","7","利用しない","","","たまに利用する","美味しい;できたてを購入できる;商品が本格的;種類が豊富・品揃えが良い;店や商品の個性がある","6","よく利用する","美味しい;店や商品の個性がある;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","6","たまに利用する","価格が安い;ほかの食品・日用品等と合わせて購入できる","5","たまに利用する","美味しい;できたてを購入できる;商品が本格的;種類が豊富・品揃えが良い","6","たまに利用する","美味しい;種類が豊富・品揃えが良い","6","利用しない","",""
"2020/10/17 3:40:01 午後 GMT+9","利用しない","","","よく利用する","店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","5","たまに利用する","美味しい;価格が安い;気軽に購入できる・素早く購入できる","5","たまに利用する","美味しい;できたてを購入できる;種類が豊富・品揃えが良い;店や商品の個性がある;店の雰囲気が良い","8","よく利用する","店舗が近い・アクセスが良い;価格が安い;種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","5","よく利用する","価格が安い;種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","5","利用しない","","","たまに利用する","店舗が近い・アクセスが良い;価格が安い;種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","5","たまに利用する","店舗が近い・アクセスが良い;価格が安い;種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","5"
"2020/10/17 3:56:36 午後 GMT+9","利用しない","","","利用しない","","","利用しない","","","たまに利用する","美味しい;店舗が近い・アクセスが良い;商品が本格的;種類が豊富・品揃えが良い;店の雰囲気が良い","6","よく利用する","店舗が近い・アクセスが良い;価格が安い","2","よく利用する","店舗が近い・アクセスが良い;価格が安い","6","利用しない","","","利用しない","","","利用しない","",""
"2020/10/17 4:04:07 午後 GMT+9","利用しない","","","利用しない","","","よく利用する","価格が安い","0","利用しない","","","利用しない","","","よく利用する","価格が安い","0","よく利用する","美味しい","7","利用しない","","","利用しない","",""
"2020/10/17 4:16:36 午後 GMT+9","利用しない","","","利用しない","","","利用しない","","","利用しない","","","たまに利用する","店舗が近い・アクセスが良い","0","よく利用する","価格が安い","2","利用しない","","","利用しない","","","利用しない","",""
"2020/10/17 4:23:23 午後 GMT+9","たまに利用する","美味しい;商品が本格的;店や商品の個性がある;店の雰囲気が良い;店員が親切・愛想が良い","8","利用しない","","","利用しない","","","たまに利用する","美味しい;商品が本格的","8","たまに利用する","店舗が近い・アクセスが良い;価格が安い;種類が豊富・品揃えが良い","6","利用しない","","","利用しない","","","たまに利用する","店舗が近い・アクセスが良い;価格が安い","5","利用しない","",""
"2020/10/17 5:58:11 午後 GMT+9","利用しない","","","利用しない","","","たまに利用する","美味しい;価格が安い","7","よく利用する","美味しい","10","たまに利用する","店舗が近い・アクセスが良い","2","たまに利用する","店舗が近い・アクセスが良い;価格が安い","2","たまに利用する","美味しい","9","利用しない","","","利用しない","",""
"2020/10/17 6:21:18 午後 GMT+9","よく利用する","美味しい;できたてを購入できる;店内で飲めるのが良い;気軽に購入できる・素早く購入できる","4","たまに利用する","店舗が近い・アクセスが良い;価格が安い","2","よく利用する","価格が安い;ほかの食品・日用品等と合わせて購入できる;家で飲むためのストック","5","たまに利用する","美味しい;できたてを購入できる;商品が本格的;種類が豊富・品揃えが良い","6","たまに利用する","店舗が近い・アクセスが良い;価格が安い","3","よく利用する","種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","8","よく利用する","美味しい","7","利用しない","","","利用しない","",""
"2020/10/17 7:09:32 午後 GMT+9","利用しない","","","利用しない","","","利用しない","","","利用しない","","","利用しない","","","よく利用する","店舗が近い・アクセスが良い","5","利用しない","","","利用しない","","","利用しない","",""
"2020/10/17 8:10:22 午後 GMT+9","利用しない","","","たまに利用する","気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","3","よく利用する","店舗が近い・アクセスが良い;価格が安い;種類が豊富・品揃えが良い;ほかの食品・日用品等と合わせて購入できる","8","たまに利用する","美味しい;できたてを購入できる;商品が本格的;種類が豊富・品揃えが良い","9","たまに利用する","美味しい;種類が豊富・品揃えが良い;店や商品の個性がある;ほかの食品・日用品等と合わせて購入できる","6","よく利用する","店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","10","利用しない","","","利用しない","","","利用しない","",""
"2020/10/18 4:09:05 午後 GMT+9","利用しない","","","よく利用する","店舗が近い・アクセスが良い;気軽に購入できる・素早く購入できる","7","たまに利用する","価格が安い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","7","利用しない","","","たまに利用する","店舗が近い・アクセスが良い;気軽に購入できる・素早く購入できる","7","たまに利用する","店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","7","たまに利用する","美味しい;商品が本格的;種類が豊富・品揃えが良い","9","たまに利用する","気軽に購入できる・素早く購入できる","7","たまに利用する","価格が安い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","7"
"2020/10/18 5:38:49 午後 GMT+9","たまに利用する","美味しい;商品が本格的","7","よく利用する","店舗が近い・アクセスが良い;気軽に購入できる・素早く購入できる","5","たまに利用する","価格が安い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","7","利用しない","","","よく利用する","価格が安い;種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる","8","たまに利用する","美味しい;価格が安い;種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる","8","利用しない","","","たまに利用する","美味しい;価格が安い;気軽に購入できる・素早く購入できる","7","たまに利用する","美味しい;価格が安い;気軽に購入できる・素早く購入できる","7"
"2020/10/19 8:56:21 午前 GMT+9","利用しない","","","利用しない","","","利用しない","","","よく利用する","美味しい;商品が本格的;種類が豊富・品揃えが良い;店や商品の個性がある","9","よく利用する","価格が安い","6","よく利用する","価格が安い","9","よく利用する","美味しい;商品が本格的;店や商品の個性がある","10","たまに利用する","店舗が近い・アクセスが良い;価格が安い","9","たまに利用する","気軽に購入できる・素早く購入できる","9"
"2020/10/26 9:03:16 午前 GMT+9","たまに利用する","美味しい;店の雰囲気が良い","7","よく利用する","美味しい;価格が安い","8","よく利用する","価格が安い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","5","たまに利用する","美味しい;商品が本格的","7","よく利用する","価格が安い","5","たまに利用する","価格が安い","6","たまに利用する","美味しい;商品が本格的","5","たまに利用する","店舗が近い・アクセスが良い;価格が安い","7","利用しない","",""
"2020/10/31 8:38:29 午後 GMT+9","利用しない","","","たまに利用する","店舗が近い・アクセスが良い;ほかの食品・日用品等と合わせて購入できる","3","よく利用する","店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","5","たまに利用する","美味しい;店舗が近い・アクセスが良い;商品が本格的;種類が豊富・品揃えが良い;店や商品の個性がある;店の雰囲気が良い","8","たまに利用する","店舗が近い・アクセスが良い;価格が安い;ほかの食品・日用品等と合わせて購入できる","3","利用しない","","","よく利用する","美味しい;店舗が近い・アクセスが良い;商品が本格的;種類が豊富・品揃えが良い;店や商品の個性がある;店の雰囲気が良い","10","たまに利用する","店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる","7","利用しない","",""
"2020/10/31 8:41:45 午後 GMT+9","利用しない","","","たまに利用する","店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","3","たまに利用する","店舗が近い・アクセスが良い;価格が安い","3","利用しない","","","よく利用する","店舗が近い・アクセスが良い;気軽に購入できる・素早く購入できる","2","たまに利用する","店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","2","利用しない","","","たまに利用する","店舗が近い・アクセスが良い;気軽に購入できる・素早く購入できる","3","たまに利用する","店舗が近い・アクセスが良い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","2"
"2020/10/31 8:42:24 午後 GMT+9","よく利用する","美味しい;店舗が近い・アクセスが良い;価格が安い","7","たまに利用する","価格が安い;気軽に購入できる・素早く購入できる","7","利用しない","","","利用しない","","","よく利用する","価格が安い;種類が豊富・品揃えが良い","9","利用しない","","","たまに利用する","美味しい;商品が本格的;種類が豊富・品揃えが良い","9","たまに利用する","価格が安い;気軽に購入できる・素早く購入できる","5","利用しない","",""
"2020/10/31 8:43:52 午後 GMT+9","よく利用する","店舗が近い・アクセスが良い;価格が安い;店の雰囲気が良い;店内で飲めるのが良い","5","よく利用する","美味しい;店舗が近い・アクセスが良い;価格が安い;できたてを購入できる;商品が本格的","5","たまに利用する","価格が安い","5","よく利用する","美味しい","8","よく利用する","美味しい","6","よく利用する","価格が安い","5","よく利用する","美味しい;商品が本格的","10","たまに利用する","美味しい;店舗が近い・アクセスが良い","5","たまに利用する","価格が安い","2"
"2020/10/31 8:46:11 午後 GMT+9","利用しない","","","利用しない","","","利用しない","","","よく利用する","美味しい;商品が本格的;店や商品の個性がある","8","たまに利用する","価格が安い","5","たまに利用する","ほかの食品・日用品等と合わせて購入できる","7","たまに利用する","美味しい;種類が豊富・品揃えが良い;店や商品の個性がある","10","たまに利用する","価格が安い","5","利用しない","",""
"2020/10/31 8:56:53 午後 GMT+9","利用しない","","","利用しない","","","たまに利用する","価格が安い","6","たまに利用する","美味しい;店舗が近い・アクセスが良い","8","よく利用する","美味しい;店舗が近い・アクセスが良い;価格が安い;種類が豊富・品揃えが良い","7","よく利用する","美味しい;店舗が近い・アクセスが良い;価格が安い;種類が豊富・品揃えが良い","5","利用しない","","","たまに利用する","美味しい;店舗が近い・アクセスが良い","6","利用しない","",""
"2020/10/31 9:14:23 午後 GMT+9","利用しない","","","利用しない","","","利用しない","","","利用しない","","","たまに利用する","美味しい","7","利用しない","","","利用しない","","","利用しない","","","利用しない","",""
"2020/10/31 9:27:39 午後 GMT+9","利用しない","","","利用しない","","","利用しない","","","利用しない","","","たまに利用する","店舗が近い・アクセスが良い","0","たまに利用する","店舗が近い・アクセスが良い;価格が安い","0","利用しない","","","たまに利用する","美味しい","3","たまに利用する","価格が安い","1"
"2020/10/31 11:11:41 午後 GMT+9","利用しない","","","利用しない","","","利用しない","","","たまに利用する","美味しい;商品が本格的","10","よく利用する","店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる","4","たまに利用する","価格が安い","1","よく利用する","美味しい;商品が本格的;種類が豊富・品揃えが良い;店や商品の個性がある","10","利用しない","","","たまに利用する","店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる","6"
"2020/11/01 12:33:36 午前 GMT+9","利用しない","","","たまに利用する","店舗が近い・アクセスが良い","5","利用しない","","","たまに利用する","美味しい;できたてを購入できる","8","利用しない","","","たまに利用する","店舗が近い・アクセスが良い;価格が安い","4","利用しない","","","利用しない","","","利用しない","",""
"2020/11/01 11:38:14 午前 GMT+9","利用しない","","","利用しない","","","利用しない","","","よく利用する","美味しい;種類が豊富・品揃えが良い","7","よく利用する","店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","5","たまに利用する","できたてを購入できる;種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","5","よく利用する","美味しい;種類が豊富・品揃えが良い;店や商品の個性がある","6","よく利用する","美味しい;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","7","利用しない","",""
"2020/11/01 5:20:53 午後 GMT+9","利用しない","","","利用しない","","","利用しない","","","たまに利用する","店舗が近い・アクセスが良い;できたてを購入できる","1","たまに利用する","美味しい;店舗が近い・アクセスが良い;価格が安い","6","たまに利用する","美味しい;店舗が近い・アクセスが良い;価格が安い","3","利用しない","","","利用しない","","","利用しない","",""
"2020/11/02 6:45:12 午後 GMT+9","たまに利用する","美味しい;できたてを購入できる;商品が本格的;店の雰囲気が良い;店内で飲めるのが良い","8","たまに利用する","店舗が近い・アクセスが良い;価格が安い;できたてを購入できる","4","利用しない","","","よく利用する","美味しい;店舗が近い・アクセスが良い;できたてを購入できる;商品が本格的;種類が豊富・品揃えが良い;店の雰囲気が良い","10","たまに利用する","店舗が近い・アクセスが良い;価格が安い;種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる","6","たまに利用する","店舗が近い・アクセスが良い;価格が安い;種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","7","よく利用する","美味しい;店舗が近い・アクセスが良い;商品が本格的;種類が豊富・品揃えが良い;店の雰囲気が良い","10","たまに利用する","美味しい;店舗が近い・アクセスが良い;種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる","7","利用しない","",""
"2020/11/11 1:22:28 午後 GMT+9","たまに利用する","美味しい;できたてを購入できる;商品が本格的;店の雰囲気が良い;店内で飲めるのが良い","5","利用しない","","","利用しない","","","たまに利用する","美味しい;できたてを購入できる;商品が本格的;種類が豊富・品揃えが良い;店や商品の個性がある;店の雰囲気が良い","7","たまに利用する","価格が安い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","3","たまに利用する","美味しい;価格が安い;種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","5","利用しない","","","たまに利用する","美味しい;店舗が近い・アクセスが良い;種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","7","たまに利用する","店舗が近い・アクセスが良い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","6"
"2020/11/16 10:29:54 午後 GMT+9","たまに利用する","商品が本格的;種類が豊富・品揃えが良い;店の雰囲気が良い","6","たまに利用する","価格が安い","6","たまに利用する","店舗が近い・アクセスが良い;気軽に購入できる・素早く購入できる","6","たまに利用する","美味しい;商品が本格的;種類が豊富・品揃えが良い","7","よく利用する","価格が安い;気軽に購入できる・素早く購入できる","6","よく利用する","価格が安い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","6","たまに利用する","美味しい;商品が本格的","8","たまに利用する","価格が安い;気軽に購入できる・素早く購入できる","6","たまに利用する","種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる","6"
"2020/11/17 7:37:11 午前 GMT+9","利用しない","","","たまに利用する","店舗が近い・アクセスが良い;価格が安い","6","たまに利用する","価格が安い","7","たまに利用する","美味しい","8","よく利用する","店舗が近い・アクセスが良い","8","たまに利用する","価格が安い","7","よく利用する","美味しい;種類が豊富・品揃えが良い","8","たまに利用する","美味しい;店舗が近い・アクセスが良い","7","たまに利用する","価格が安い","6"
"2020/11/17 10:14:13 午前 GMT+9","利用しない","","","たまに利用する","価格が安い","0","利用しない","","","利用しない","","","利用しない","","","利用しない","","","たまに利用する","美味しい","0","利用しない","","","利用しない","",""
"2020/11/17 4:50:26 午後 GMT+9","利用しない","","","たまに利用する","気軽に購入できる・素早く購入できる","0","利用しない","","","たまに利用する","価格が安い","2","利用しない","","","たまに利用する","価格が安い","4","利用しない","","","利用しない","","","利用しない","",""
"2020/11/17 5:56:20 午後 GMT+9","たまに利用する","美味しい;店の雰囲気が良い;店内で飲めるのが良い","8","利用しない","","","利用しない","","","たまに利用する","美味しい;商品が本格的;種類が豊富・品揃えが良い","5","たまに利用する","店舗が近い・アクセスが良い;価格が安い;種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる","5","たまに利用する","店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","0","利用しない","","","利用しない","","","利用しない","",""
"2020/11/17 7:30:23 午後 GMT+9","利用しない","","","利用しない","","","利用しない","","","よく利用する","美味しい;できたてを購入できる;商品が本格的;種類が豊富・品揃えが良い;店や商品の個性がある","10","よく利用する","店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる","5","たまに利用する","店舗が近い・アクセスが良い;価格が安い","5","利用しない","","","利用しない","","","利用しない","",""
"2020/11/19 2:35:13 午後 GMT+9","利用しない","","","利用しない","","","よく利用する","スーパーに売ってるやつだから","5","たまに利用する","美味しい","8","よく利用する","気軽に購入できる・素早く購入できる","2","たまに利用する","ほかの食品・日用品等と合わせて購入できる","2","よく利用する","美味しい","7","利用しない","","","利用しない","",""
"2020/11/21 11:51:46 午前 GMT+9","よく利用する","美味しい;商品が本格的","7","たまに利用する","価格が安い","5","たまに利用する","価格が安い;ほかの食品・日用品等と合わせて購入できる","5","よく利用する","美味しい;できたてを購入できる;店の雰囲気が良い","8","たまに利用する","価格が安い;気軽に購入できる・素早く購入できる","6","よく利用する","価格が安い;ほかの食品・日用品等と合わせて購入できる","5","よく利用する","美味しい;種類が豊富・品揃えが良い","8","よく利用する","価格が安い;気軽に購入できる・素早く購入できる","7","たまに利用する","価格が安い","4"
"2020/12/01 4:51:45 午後 GMT+9","利用しない","","","利用しない","","","利用しない","","","利用しない","","","利用しない","","","利用しない","","","利用しない","","","利用しない","","","利用しない","",""